word,frequency
president,18
america,16
future,15
know,14
say,13
black,13
us,13
stand,11
history,11
way,9
truth,9
think,8
never,8
first,8
going,8
nation,8
see,8
well,7
hope,7
university,7
years,7
american,7
white,7
life,7
soul,7
thank,6
united,6
states,6
promise,6
many,6
state,6
got,6
today,6
also,6
time,6
hbcus,6
howard,6
public,6
one,6
law,6
every,6
violence,6
would,6
people,6
best,6
percent,6
keep,6
class,5
right,5
everything,5
