word,frequency
right,13
every,12
way,10
say,8
let,8
get,8
hard,8
seen,8
work,7
us,7
thank,6
class,6
know,6
want,6
amazing,6
rejected,6
people,6
movie,6
days,5
little,5
speech,5
possums,5
reason,5
day,5
generation,5
less,5
time,5
go,4
would,4
going,4
rabid,4
like,4
problem,4
die,4
humanity,4
things,4
life,4
words,3
four,3
come,3
pep,3
talk,3
normal,3
handle,3
gave,3
first,3
tornado,3
roof,3
white,3
got,3
