word,frequency
change,19
want,13
world,12
wanted,12
things,11
also,9
today,8
advice,8
people,8
fear,8
class,7
new,7
one,7
take,7
climate,7
see,7
need,7
day,6
enough,6
freedom,6
many,5
might,5
know,5
biodiversity,5
gender,5
everyone,5
future,5
make,5
would,4
dear,4
thought,4
first,4
question,4
responsibility,4
loss,4
rights,4
sure,4
equal,4
sustainable,4
changes,4
values,4
artificial,4
intelligence,4
way,4
importantly,3
york,3
nyu,3
like,3
family,3
share,3
