word,frequency
know,8
college,6
today,6
people,6
never,6
advice,6
make,6
work,6
could,6
graduation,5
like,5
life,5
take,5
good,4
time,4
made,4
believe,4
education,4
find,4
microsoft,4
new,4
around,4
piece,4
nau,3
think,3
graduates,3
might,3
something,3
left,3
thought,3
one,3
thing,3
feel,3
next,3
school,3
would,3
rest,3
days,3
climate,3
change,3
problem,3
solve,3
learn,3
help,3
important,3
use,3
future,3
long,3
arizona,2
commencement,2
