word,frequency
truth,20
way,10
american,9
justice,8
right,7
every,7
make,7
time,6
one,6
work,6
share,6
us,5
many,5
battle,5
human,5
know,5
day,5
even,5
liberty,5
indifference,5
days,4
far,4
course,4
america,4
super,4
people,4
man,4
marlon,4
tommy,4
race,4
never,4
someone,4
common,4
longer,4
may,3
thank,3
years,3
arts,3
yeah,3
powers,3
abilities,3
superman,3
steel,3
single,3
struggle,3
see,3
neverending,3
name,3
considered,3
said,3
